TNPO1	unnamed (-182478)
TOX3	unnamed (+346969)
TPBG	unnamed (+69759)
TRIM42	unnamed (-534192)
TSC22D1	unnamed (-303041)
TSHZ2	unnamed (-477940)
TSPYL5	unnamed (+298498)
TTC28	unnamed (+659619)
TUNAR	unnamed (+122052)
UBE3D	unnamed (+632451)
UQCRFS1	unnamed (-154622)
VAT1L	unnamed (+134081)
VIP	unnamed (+197563)
VRK1	unnamed (+590154)
VSTM2B	unnamed (-158336)
VWA8	unnamed (+292724)
WWC1	unnamed (-495758)
XIRP2	unnamed (+502767)
ZCCHC14	unnamed (-58513)
ZEB2	unnamed (-338238)
ZFHX3	unnamed (-824862)
ZFP64	unnamed (-302481)
ZIC3	unnamed (+626039)
ZNF280D	unnamed (-86831)
ZNF366	unnamed (-126107)
ZNFX1	unnamed (-45679)
ZRANB2	unnamed (-930029)

